nome,lon,lat,ra
TIA ELZA MAT E JI,-47.970941357234764,-15.839213400905036,GUARA
TIO PATINHAS ESC DE EDUC INF,-47.97864591159987,-15.834279236583146,GUARA
CR SORRISO DE MARIA,-47.965909660315305,-15.839187799203227,GUARA
CR TIA JOANA DO LUCIO COSTA,-47.98627385423327,-15.809880987764727,GUARA
COL DO SOL,-47.8816871115298,-15.71476867476037,LAGO NORTE
ESC DE PAISAGISMO DE BRASILIA,-47.88142975387622,-15.719744775403486,LAGO NORTE
INST NATURAL DE DESENV INF - INDI,-47.86282207197584,-15.729655008639094,LAGO NORTE
SEMPRE MAT E PRE-ESC,-47.84914731307206,-15.744507589388538,LAGO NORTE
CED PARQUE ENCANTADO,-47.870041825906284,-15.833706303180012,LAGO SUL
COL DOM JOSE,-47.80714355192525,-15.824141993711951,LAGO SUL
COL MARIA IMACULADA,-47.898626641534676,-15.852847331435566,LAGO SUL
COL NOSSA SENHORA DO PERPETUO SOCORRO,-47.89619935326077,-15.843018907321493,LAGO SUL
COL PRESBITERIANO MACKENZIE - BRASILIA,-47.89528451773375,-15.851724524220145,LAGO SUL
